Time,suosittelu,hyvaa,loppuun_syy_2,loppuun_syy_3,loppuun_syy_4,loppuun_syy_5,loppuun_syy_6,loppuun_syy_7,loppuun_syy_8,loppuun_syy_9,loppuun_syy_10,sisallot_1,kehitettava,sisallot_2,sisallot_3,sisallot_4,sisallot_5,sisallot_6,sisallot_7,sisallot_8,sisallot_9,sisallot_10,sisallot_11,lisaa,sisallot_12,sisallot_13,sisallot_14,sisallot_15,sisallot_16,sisallot_17,sisallot_18,sisallot_19,sisallot_20,sisallot_21,pois,sisallot_22,miten_loysit,nopeus,loppuun,kesken_syy,loppuun_syy_1,laitteet,laitteet_potentiaali
2016-06-21 08:07:02.181843+00:00,0,"Asioiden yksinkertaistaminen siten, että aloittelijakin ymmärtää.
 Motivoi kokeilemaan uusia juttuja",2,2,2,1,1,2,1,0,0,3,,4,4,4,2,3,3,3,2,3,3,"henkilökohtaista palautetta, itse en saanut yhtään",3,3,3,4,4,4,3,3,4,3,,2,2;4;5,2;3;4;5,5,2,0,,1
2016-06-20 20:12:51.225664+00:00,8,Kurssi innosti hienosti koodauksen maailmaan.,2,2,1,2,1,1,1,2,1,3,Tehtävien palauttaminen tökki toisinaan. Samoin vertaisarviointien tekeminen.,1,4,4,0,4,4,4,3,4,3,,3,3,4,4,4,3,3,4,3,2,,3,3,1;3;4;5,3,2,0,,0
2016-06-20 14:57:24.886426+00:00,8,Oppi mielekkäästi ohjelmoinnista joka on nyt 'kuuma juttu' ja innosti itseäni. Sai vielä todistuksen jonka voi esimiehelle näyttää!,2,2,1,1,1,2,0,1,0,4,En saanut vertaisarviointeja tehtyä mikä jäi harmittamaan! Olisin ehkä kaivannut vielä lisä infoa miten tehtävät pitäisi tehdä.,0,4,4,0,4,4,4,2,4,2,Kts edellinen,0,2,2,3,2,3,3,3,3,3,En mitään.,3,2,5,4,2,0,,1
2016-06-20 12:33:06.398019+00:00,9,Uuden opsin mukainen. Lähti alkeista ei tarvinnut etukäteistietoa.,2,2,2,0,2,2,1,2,0,4,"Alusta oli vaikea käyttöinen, toisaalta tietotekniikan kanssa täytyy aina muistaa se että kaikki ei mene aina niin kuin haluaisi tai luulisi.",0,4,4,0,4,4,4,3,4,4,Olisi ollut kiva nähdä toisten diplomitöitä (minulla on android tabletti),3,4,4,4,4,4,4,4,4,4,En mitään ,4,0;4,0;4,1,2,0,,0
2016-06-20 05:41:54.835419+00:00,8,"Erittäin hyvät ohjeet ja innostavat videot, jotka olivat tärkeä apu siihen, että hoksasin, mikä on tavoitteena. Mieletöntä, että en joutunut tästä maksamaan. Viikoittainen eteneminen oli hyvä, mutta hienoa, että ainakin scratch jr -kurssilla tehtäviä tuli mahdolliseksi tehdä jo nopeammin ja aiemmin. Vaikka kehityskohtaan tuli teksti, olen siis erittäin tyytyväinen tähän annettuun mahdollisuuteen tehdä kurssi verkossa ja siihen, että voin vielä palata hakemaan sivuilta myöhemmin ideoita :). Lämmin kiitos!",2,2,1,1,2,2,1,1,0,3,"Olisi hienoa, jos pistetilanne saataisiin toimimaan ajantasaisesti, jotta kurssilaisen ei tarvitsisi 'hermoilla', ovatko suoritukset menneet perille. Voisi olla hyvä rauhoitella meitä huolehtijoita ( joita piazzassa näkyi olevan useampi) jo alussa etukäteen kaikille suunnatulla viestillä, että suoritusten pisteet saattavat tulla myöhässä ja että kannattaa varautua siihen, ettei pistetilanne välttämättä toimi ihan nopeasti. Piazza on mielestäni sekava ja epämiellyttävä sovellus.
 
 Lyhyemmin, näin kurssilaisen näkökulmasta :):
 * piazzan tilalle selkeämpi sovellus
 * kurssin aikana esim. pari kertaa etukäteen annettuina päivämäärinä yhteistä viestiä kouluttajilta piazzaan esitettyihin kysymyksiin, joita useammat pähkäilevät, jotta ei tarvitsisi käydä kurkistelemassa koko ajan, onko jotain vastausta omaan tiedusteluun esim. diplomityön perille tulemisesta tullut ( ongelmat vertaisarviointeihin pääsemisestä olisi ollut hyvä saada selkeästi tietoon; aiheutti turhaa harmitusta ja luovuin jo yrittämästä niiden tekemistä ajatellen, että olenpa ainakin jotain oppinut tuli todistusta tai ei)
 * joku tieto siitä, voiko diplomityötä uusia, jos siinä jokin asiaa on unohtunut
 * selittelyt kouluttajien runsaasta työmäärästä olisivat ehkä poisjätettävissä, jos kurssilaisille viestitettäisiin, milloin kurssipalautteet mahdollisesti saapuvat viimeistään, olkoon vaikka heinä- tai elokuun loppuun mennessä; epätietoisuudessa roikkuminen on ikävää
 ",0,3,3,0,3,3,4,2,3,2,"Alkuun vinkkiä siitä, miten voi käydä katsomassa mallia ja apua toisten koodaamista animaatioista.",1,1,1,2,2,2,3,4,4,4,"Piazzan vaihtaisin toiseen.
 Ohjetekstien tiivistäminen lyhyeen ja ytimekkääseen.
 ",3,3;4,3;4,5,2,0,,0
2016-06-19 21:46:04.911846+00:00,8,"Hyvä ohjeistus, sopivat tehtävät ja mahdollisuus tehdä omassa tahdissa",2,2,2,1,1,1,2,2,0,4,"Tarkemmusta, että kaikki myös vertaisarvioinnit roimisivat myös iPadeila.",0,4,3,1,3,3,3,1,4,3,,3,4,2,3,3,3,3,3,4,4,,3,2,3;4,4,2,0,,1
2016-06-19 18:53:20.682606+00:00,6,"Sain paljon ideoita koodaamisen opettamiseen, koska aihe oli itselle ennen tätä kurssia vierasta.",2,2,2,2,1,1,0,0,0,3,Se ettei androidilla voinutkaan tehdä kaikkia tehtäviä esim vertaisarvioita.,1,4,4,1,3,3,3,2,3,3,"
 Alussa olisi teoriaa voinut olla enemmänkin. Ensimmäinen pohdintatehtävä tuntui vaikealta.",3,3,3,3,3,4,3,3,2,2,,1,0,0;4,1,2,0,,
2016-06-19 18:24:03.869634+00:00,9,Opin paljon uusia asioita. Koodaaminen oli aivan uutta minulle.,2,2,2,2,2,2,2,2,0,4,:),0,4,4,0,4,4,4,3,4,3,mielestäni kaikkia oli tarpeeksi,2,2,2,3,4,4,4,4,4,4,en mitään,4,2,2,4,2,0,,1
2016-06-19 18:07:34.275604+00:00,9,"Kurssin pystyi suorittamaan melko hyvin omassa tahdissa ja tehtävät olivat mielenkiintoisia. Erityisen hyvää oli myös se, että muidenkin ajatuksia ja ideoita pääsi lukemaan pohdintatehtävien kautta.",2,2,2,1,0,0,0,1,1,3,"Kurssin aikataulurajaukset olivat toisinaan hieman epäselviä, varsinkin kun joihin tehtäviin oli enemmän aikaa. Muistamisen kannalta olisi ehkä helpompaa, että aikaraja olisi aina esim. 2 vko. Suoritettavat tehtävät olivat alussa liiankin helppoja ja kuin yhtäkkiä vaatimustaso nousi lopputyöhön. Tiedän, että osa kolmetoista jättivät kurssin kesken, koska heidän koodaamistaidot loppuivat kuin seinään.",1,4,4,0,3,3,4,3,3,2,"Jonkinlaisen yhteenvedon koodausideoista, joita tehtävissä on jaettu. Tämä helpottaisi käytännön työtä paljon tulevaisuudessa.",1,1,1,3,1,3,3,4,4,4,"Kommentointitehtävät, mikäli niiden toimiminen ei ole varmaa kaikilla laitteilla.",3,0,1;3;4;5,5,1,0,,1
2016-06-19 09:13:53.649895+00:00,8,"Kaikki oli hyvää, mulla vaan niin kiireinen kevät kun tein kahta työtä ja alettiin viel rakentaan niin ei vaan riittäny aika loppuun asti, jatkan sit myöhemmin kurssia.",,,,,,,,,,3,Ei mikään,0,4,4,0,3,4,4,2,4,4,,2,2,2,4,1,3,4,3,4,4,En mitään,3,3;4,3;4,1,2,1,1;5,
2016-06-19 08:25:18.775070+00:00,8,"Kurssin rakenne ja sisältö. Toimiva tapa opetella asioita työn ohessa! Erityisesti iloitsin ajankäytön kohtuullisuudesta: itseään sai haastaa vapaasti, mutta perustietojen ja tehtävien tekemisessä pärjättiin realistisen ajankäytön rajoissa.",2,2,2,0,0,2,1,2,0,4,Tekniset ratkaisut ja tiedon välittyminen (esim. kurssiohjelmaan tai arviointeihin liittyvät muutokset).,4,4,3,1,3,4,3,3,4,3,Pärjäsin hyvin näinkin!,2,2,2,2,3,3,4,4,4,4,,1,0;4,0;3;4;5,0,2,0,,1
2016-06-18 19:55:15.467096+00:00,8,"Ohjelmointipätkät olivat sopivan haasteellisia, nopeasti kuitenkin sai valmista aikaiseksi.",2,2,1,2,2,1,0,1,0,3,"Ilmoittautuminen ja töiden lähetys, iPad on useimmiten iCloud-tunnuksella lähettävä, ei Gmail-osoitteinen. Turhaa työtä ylläpitäjille yhdistellä Gmail-osoitteita ja lähetettyjä töitä. Tai sitten lähetettäviin töihin selkeästi ohjeet, kuka  lähettää ja millä on kirjautunut koodauskurssille, jotta olisi helpompi yhdistellä.
 
 Vertaisarviointi kaipaa selkeytyvät ja toimivuutta. Työpohja, jossa annettiin palautetta oli aivan liian monimutkainen eikä toiminut luotettavasti. Minultakin on jäänyt vertaisarviointipisteet saamatta, ilmeisesti en ole osannut lähettää oikein palautetta eteenpäin niin että se kohdentuisi minuun.",1,3,3,1,3,3,3,3,3,1,"Heti alkuun ohjeistusta, että scratchJr ei voi tehdä kuin neljän sivun miniohjelman. Turhaa työtä ja kokeilua...",2,0,0,2,2,3,3,3,3,3,-,2,3;5,2;4,1,3,0,,0
2016-06-18 16:35:40.684103+00:00,8,"Ensikertalaiselle koodaajalle todella hyvä opetuspaketti. Selkeät jaksot hyvä, yksi asia opeteltavaksi kerrallaan.",2,2,2,1,1,,1,1,1,3,Ohjeistus ja tehtäväpohjan toiminta.,1,4,4,1,3,2,3,3,3,3,,2,3,3,3,3,3,3,4,4,4,"En mitään. Sopiva aloituspaketti, josta oppilaiden on helppo jatkossa opettaa opea vielä lisää :-)",3,2,4,3,2,0,,0
2016-06-17 20:03:23.766694+00:00,3,Pääsin tutustumaan skratch junioriin.,2,2,0,0,1,0,0,0,0,3,"Mooc Piazza -keskustelu oli sekavaa samoin rubyric oli huono. Tein tehtävät ja panostin diplomityöhön, todistus olisi ollut ihan kiva. Nyt luotin siihen, että keskusteluissa kysellään ihan turhaan pisteiden ja palautusten perään, mutta näköjään näin ei ollutkaan. Toimivaa palautekanavaa tarvittaisiin, jotta tietäisi työnsä tulleen perille ja saisi puutteet korjattua/tietoonsa.",2,3,3,2,4,2,3,2,3,2,"Lisää hatrjoituksia, ohjeita ja vinkkejä. Syvällistä tietoa koodauksesta/koodista.",2,2,2,2,2,2,2,4,4,2,,2,0;4,,5,1,0,,0
2016-06-16 14:54:04.532986+00:00,9,"Tietojen jakaminen muiden kanssa, tehtävät ja hyvät opetusvideot.",2,2,2,2,2,2,0,2,0,4,Ei mitään,0,4,4,0,4,4,4,0,4,4,Ei mitään,0,4,0,4,0,4,4,4,4,4,En mitään,3,2;4,0,4,2,0,,0
2016-06-16 13:52:44.191486+00:00,8,Sain ideoita koodauksen toteuttamiseen  alkuopetuksessa. Tietoa ja ohjeita koodauksesta ja niihin liittyvistä tehtävistä tuli hyvin. ,2,2,1,2,2,2,1,,0,3,"Kehittämistä kaipaa Piazza, joka voisi olla selkeämpi ja yksinkertaisempi. Kaikkia koskevat yhteiset ohjeet esim. värillä tms. merkittynä, sillä kaikea keskustelua ei halua lukea. Myös selkeästi päivämäärät, jolloin esim. pisteet viimeistään tulee kurssilaisille näkyväksi ja tietää, että jos ko. päivään ei niitä ei näy niin jotain on pielessä. Päivämäärät voisivat olla Koodiaapisen etusivulla.",1,3,4,1,3,4,4,3,3,3,"Selkeätä Padlet seinää, josta muiden lopputyöt vain klikkaillaan auki ja päästään ihailemaan muiden kekseliäisyyttä.",2,2,2,3,3,3,2,4,3,3,,2,2;4,2;4,3,2,0,,1
2016-06-16 08:25:18.855291+00:00,8,"Mahdollisuus oppia ohjelmoinnin alkeet ilman suuria paineita ja huomata, että minäkin osaan. Uskon voivani siirtää näitä oppeja myös tuleville ekaluokkalaisilleni. Ohjeet aluksi hyvin selkeitä, mutta loppupuoli sekavaa. Piazza oli hyvä. Sieltä löytyi vastauksia muiden kysymyksiin, jotka usein olivat samoja kuin itsellä. Kurssin ohjaaja oli myös hyvin motivoiva. ",2,2,2,2,2,2,0,2,1,4,"Voi olla omasta paneutumisestani kiinni, mutta loppuvaiheessa ei onnistunut vertaisarviointi. Siitä jäi pisteet saamatta. Itselläni ei ollut käytössä omaa tablettia, mikä hankaloitti hommia. Jossain vaiheessa, kun töitä palautettiin , tuli tunne, että palautteita ei saatu ajallaan opiskelijoille.",1,4,4,0,3,4,4,2,3,2,"Olisin toivonut ehtiväni enemmän tutustua muiden töihin. Se tietysti oli vain minusta itsestäni kiinni. Nyt toivoisin, että olisin pyytänyt todistuksen kurssista. Opintopisteitä en tässä työurani vaiheessa tarvitse, mutta joku paperi osallistumisestani olisi kiva saada. Jos se vielä onnistuu: leena.piipponen@mantsala.fi   on osoite tai leenapiipponen58@gmail.com",3,4,3,3,3,3,3,3,3,4,Ehkä tuon sekavan vertaisarvioinnin pisteytyksen. Vertaisarviointi muuten paikallaan.,3,1;4,4,1,2,0,,0
2016-06-16 06:37:01.146490+00:00,9,"Kurssilla oppi Skratch juniorin toimintatavan, tutustui eri tapoihin koodata tällä ohjelmalla. Nyt on perusohjeet  Kokeilin tehtäviä käytännössä ja toimivat hyvin omalla luokallani. ",2,2,1,2,2,1,1,1,1,4,"Tehtävien palautus tuntui vaikealta - ei tiennyt, että tekikö sen oikein.",0,4,4,0,4,4,4,3,4,3,,0,3,3,3,3,3,3,3,2,2,,3,0;4;5,3,5,2,0,,1
2016-06-15 16:07:13.793343+00:00,7,"Oppi käyttämään ScratchJr-ohjelmaa, sai paljon hyviä vinkkejä omaan opetukseen ja oppi ajattelemaan koodausta sekä sen opettamista eri tavalla ts. koodaus ei ole pelkkää koodin kirjoittamista.",2,2,2,2,1,1,0,0,0,4,"Kurssilla oli hieman hankala surffailla eri alustoilla, joten tämä saattaa vaikuttaa osallistujiin (varsinkin, jos ei jaksa/osaa ottaa selvää kaikista teknisistä jutuista).
 
 Selkeämmät ohjeet tehtävien tekemiseen.",0,4,4,0,4,4,4,3,3,3,En oikeastaan mitään.,2,3,2,3,2,3,3,3,3,3,"Turhat sivustot eli vain yksi paikka, jonne pitää kirjautua ja, jossa kurssia toteutetaan.",2,3,0;3;4;5,1,2,0,,0
2016-06-15 07:29:10.552054+00:00,7,Kurssi eteni sopivissa pätkissä. Opittavaa ei ollut liikaa yhdellä kertaa.,,,,,,,,,,3,Aikataulu oli turhan tiukka ja myöhästymisistä sakottaminen typerää. Kurssin vetäjä ei ole vieläkään noteerannut kuukausia sitten palautettuja tehtäviä. Keskustelualueen kautta on voinut kysyä asioita mutta ei niihin ole kuitenkaan tullut vastauksia. Vertaisarviointisysteemissä on jotain mätää. Kokeilin useita kertoja mutta en saanut tarjottuja töitä avattua.,1,3,3,2,2,2,3,3,3,3,,2,2,2,2,2,2,2,3,3,3,,2,2;4,3;5,1,3,0,,
2016-06-14 12:39:11.383661+00:00,8,"Teoria ja tehtävänannot olivat selkeitä. Varsinkin ensimmäiset osiot olivat sellaisia, että täysin noviisinakin innostui kokeilemaan ja sitten ei malttanut jättää kesken. Kokonaisuus tuki hyvin omaa työtäni ja tarjosi juuri sitä osaamista  josta nyt on tarve.",2,2,1,0,2,2,1,1,0,4,Ohjelma ei toiminut kaikilla tableteilla ja tehtävien lähettämisessä oli ongelmia.,1,4,4,1,3,3,3,3,3,2,Mahdollisuuden paneutua seuraavaan kokonaisuuteen myöhemmin omassa tahdissa.,2,3,3,3,3,3,3,3,3,3,Juniorkurssilta en mitään.,3,0;4,3;5,3,2,0,,0
2016-06-14 12:13:51.157575+00:00,7,"Sain hyvän käsityksen siitä, miten aloittaisin koodaamisen opettamisen alkuluokilla. Omaan tahtiin eteneminen oli mukavaa ja tietysti myös kurssin maksuttomuus. Toisten opiskelijoiden kommenttien ja töiden tarkasteleminen auttoi eteenpäin!",2,2,2,2,1,1,1,1,0,3,Diplomityön palautus ja vertaisarviointi ei meinannut onnistua..,0,3,4,0,3,3,4,3,4,3,,1,2,3,3,3,3,3,3,3,4,,3,2,4,1,1,0,,2
